Match,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
Match 37,4/1,10/1,20/2,20/4,23/5,28/5,29/6,38/6,45/6,50/8,53/9,56/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 38,6/0,11/0,25/0,43/0,58/1,63/2,69/2,81/2,89/3,104/3,111/3,116/4,121/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 39,3/1,5/1,12/2,24/2,30/3,34/4,44/4,48/4,52/4,56/4,71/4,80/4,88/5,96/5,101/6,104/7,111/7,120/7,127/8,136/9
Match 40,4/2,10/2,13/2,20/2,31/2,43/2,45/2,54/2,58/4,60/6,63/6,67/6,79/6,82/6,89/7,93/7,102/7,111/9,118/9,120/10
Match 41,4/0,6/0,12/0,21/0,27/0,42/0,44/2,52/2,61/2,68/2,77/2,86/2,92/2,94/2,101/2,104/2,115/3,121/3,134/5,144/6
Match 42,4/0,10/1,17/1,26/1,38/1,45/2,47/3,50/3,53/4,63/4,71/4,77/4,87/4,97/4,113/4,127/4,136/5,142/5,155/6,163/7
Match 43,5/0,12/0,22/0,32/1,39/1,50/2,57/3,61/3,71/3,75/3,82/3,98/3,103/4,111/4,125/4,145/4,160/5,170/6,177/8,183/10
Match 44,16/0,24/0,30/0,33/0,44/0,51/1,55/1,60/1,68/1,78/1,87/1,93/1,101/2,110/2,116/2,124/2,128/2,144/2,163/2,173/2
Match 45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 46,5/0,23/0,28/0,40/1,59/1,67/2,73/3,78/3,84/3,90/3,96/3,100/4,105/4,115/4,132/4,136/5,140/5,153/5,173/6,182/6
Match 47,13/0,22/1,37/1,73/1,85/1,92/1,96/1,102/2,108/2,113/2,128/2,135/2,141/3,145/3,148/3,158/3,169/3,193/3,201/4,218/5
Match 48,3/0,14/1,21/2,29/3,31/4,38/4,44/4,53/4,57/5,63/5,67/5,71/5,73/5,88/5,94/5,113/5,122/5,132/5,142/6,153/7
Match 49,5/0,7/1,17/1,25/1,30/1,32/2,33/3,35/3,39/4,40/4,42/4,50/4,59/4,65/5,78/5,84/5,101/5,110/6,114/7,117/8
