Enter the details for prediction:

Predicted Scores Table:47/10
 Over  Score  Wickets  Predicted Final Score
 Over  Score  Wickets  Predicted Final Score
    6     35        0                 158.69
    7     37        1                 113.87
    8     40        1                 113.30
    9     44        1                 118.42
   10     48        1                 125.91
   11     58        1                 118.24
   12     66        1                 131.91
   13     76        1                 138.61
   14     95        1                 152.48
   15     99        1                 149.12

Predicted Scores Table:47/10
 Over  Score  Wickets  Predicted Final Score
    6     25        4                  80.83
    7     30        5                  62.10
    8     32        6                  51.39
    9     35        7                  51.38
   10     35        7                  47.54
   11     36        8                  48.50
   12     45        8                  54.05
   13     47        9                  47.54
   14     47       10                  47.16

Predicted Scores Table:271/4
 Over  Score  Wickets  Predicted Final Score
    6     73        0                 233.17
    7     84        0                 214.18
    8     95        0                 217.28
    9    109        0                 219.81
   10    128        1                 267.48
   11    138        1                 234.80
   12    161        1                 272.36
   13    173        1                 265.53
   14    186        1                 278.08
   15    198        3                 295.71

Predicted Scores Table:185/4
 Over  Score  Wickets  Predicted Final Score
    6     67        0                 191.59
    7     73        0                 178.53
    8     81        0                 182.25
    9     85        1                 186.82
   10     88        1                 192.64
   11     95        1                 178.36
   12    108        1                 191.91
   13    110        1                 177.65
   14    112        2                 184.14
   15    124        2                 182.85

Predicted Scores Table:170/7
 Over  Score  Wickets  Predicted Final Score
    6     56        0                 173.12
    7     67        0                 173.16
    8     73        0                 171.18
    9     88        0                 183.68
   10     98        0                 184.95
   11    101        1                 174.34
   12    104        2                 177.09
   13    120        2                 178.85
   14    132        2                 190.57
   15    136        2                 177.75

Predicted Scores Table:47/7
 Over  Score  Wickets  Predicted Final Score
    6     12        1                 111.22
    7     16        1                  96.24
    8     18        1                  81.46
    9     21        2                  59.21
   10     22        2                  55.26
   11     23        2                  51.33
   12     25        3                  51.64
   13     26        3                  53.36
   14     28        4                  57.49
   15     31        5                  47.81

Predicted Scores Table:162/8
 Over  Score  Wickets  Predicted Final Score
    6     42        2                 146.78
    7     46        2                 167.30
    8     49        2                 170.37
    9     53        3                 146.32
   10     55        4                 120.47
   11     62        4                 139.14
   12     68        5                 145.52
   13     78        5                 132.69
   14     86        5                 146.62
   15    111        5                 154.45

Predicted Scores Table:158/5
 Over  Score  Wickets  Predicted Final Score
    6     43        0                 153.58
    7     51        0                 157.99
    8     62        0                 180.17
    9     66        0                 165.68
   10     77        0                 158.87
   11     87        0                 161.50
   12     99        0                 188.60
   13    105        0                 161.49
   14    110        1                 168.78
   15    114        1                 161.17

Predicted Scores Table:121/4
 Over  Score  Wickets  Predicted Final Score
    6     63        2                 139.87
    7     69        2                 142.23
    8     81        2                 131.01
    9     89        3                 215.64
   10    104        3                 154.10
   11    111        3                 213.93
   12    116        4                 141.44
   13    121        4                 181.94

Predicted Scores Table:90/10
 Over  Score  Wickets  Predicted Final Score
    6     35        3                 125.35
    7     42        3                 135.79
    8     49        3                 125.94
    9     50        5                 126.70
   10     56        5                 128.24
   11     59        5                 125.84
   12     65        6                 118.36
   13     69        6                 108.34
   14     73        6                 105.42
   15     76        7                 113.02

Predicted Scores Table:149/8
 Over  Score  Wickets  Predicted Final Score
    6     34        2                 131.09
    7     47        2                 121.89
    8     58        2                 138.05
    9     68        2                 161.05
   10     76        2                 158.90
   11     81        2                 153.35
   12     85        3                 149.50
   13     90        4                 143.30
   14    101        4                 152.95
   15    106        4                 155.81

Predicted Scores Table:123/10
 Over  Score  Wickets  Predicted Final Score
    6     34        1                 115.03
    7     47        2                 121.89
    8     51        2                 145.84
    9     65        2                 135.34
   10     68        3                 159.94
   11     74        3                 135.73
   12     78        4                 136.06
   13     80        5                 138.36
   14     87        5                 124.08
   15     94        5                 135.61

Predicted Scores Table:156/5
 Over  Score  Wickets  Predicted Final Score
    6     38        2                 128.93
    7     54        2                 164.22
    8     58        3                 157.68
    9     62        3                 152.37
   10     71        3                 148.83
   11     76        3                 124.97
   12     83        3                 157.36
   13     95        3                 160.77
   14    100        3                 164.17
   15    116        3                 167.29

Predicted Scores Table:171/5
 Over  Score  Wickets  Predicted Final Score
    6     48        1                 126.38
    7     51        1                 129.06
    8     58        2                 138.05
    9     71        2                 166.82
   10     79        2                 192.98
   11     84        2                 184.53
   12     91        3                 180.05
   13     99        3                 177.98
   14    112        3                 177.82
   15    117        4                 162.40

Predicted Scores Table:206/4
 Over  Score  Wickets  Predicted Final Score
    6     36        1                 134.73
    7     40        1                 127.88
    8     49        1                 154.02
    9     53        2                 136.72
   10     60        2                 156.75
   11     66        3                 146.05
   12     84        3                 146.60
   13    102        3                 169.11
   14    116        3                 169.21
   15    133        3                 188.01

Predicted Scores Table:150/7
 Over  Score  Wickets  Predicted Final Score
    6     53        2                 188.18
    7     61        3                 165.25
    8     66        3                 162.06
    9     72        4                 159.99
   10     78        4                 151.98
   11     87        4                 162.99
   12     89        4                 140.33
   13     92        4                 142.46
   14    105        4                 154.93
   15    113        4                 167.38

Predicted Scores Table:167/8
 Over  Score  Wickets  Predicted Final Score
    6     49        0                 185.17
    7     54        0                 161.30
    8     66        0                 177.92
    9     70        1                 177.88
   10     77        1                 157.73
   11     83        1                 173.42
   12     87        2                 151.32
   13     91        3                 159.09
   14    101        3                 174.78
   15    111        3                 172.53

Predicted Scores Table:226/8
 Over  Score  Wickets  Predicted Final Score
    6     56        2                 169.65
    7     61        2                 176.00
    8     70        2                 169.28
    9     81        2                 175.70
   10     99        2                 208.78
   11    119        2                 214.75
   12    131        3                 221.44
   13    150        3                 221.98
   14    159        3                 231.83
   15    168        4                 240.85

Predicted Scores Table:106/7
 Over  Score  Wickets  Predicted Final Score
    6     30        2                 121.00
    7     43        3                 124.66
    8     50        3                 127.66
    9     52        3                 117.14
   10     55        5                 135.00
   11     63        5                 146.58
   12     66        5                 107.44
   13     73        5                 128.91
   14     75        6                 114.43
   15     77        6                 109.52

Predicted Scores Table:176/2
 Over  Score  Wickets  Predicted Final Score
    6     31        0                 146.59
    7     49        0                 186.24
    8     54        0                 157.49
    9     72        1                 189.42
   10     79        2                 192.98
   11     84        2                 184.53
   12     91        2                 178.24
   13    102        2                 169.90
   14    110        2                 177.55
   15    114        2                 164.40

Predicted Scores Table:180/6
 Over  Score  Wickets  Predicted Final Score
